id,collection_id,material_id,denomination_id,condition,year_created,length,width,description,link,numeric_value,extra_year,units
d8728d9f-8bcf-4197-b266-f57f96d44bc2,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,152ad2dc-43e2-4261-99ec-725cdc62958a,VERY_GOOD,2014,134,70,,https://en.numista.com/catalogue/note203853.html,20,,1
84654d5f-230b-45fb-b7fe-24f28a49ceea,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,d92d3021-8806-4925-bfc9-55c9d934df0f,VERY_GOOD,1982,138,63,,https://en.numista.com/catalogue/note203926.html,100,,1
f88e5f7a-fd41-4161-9fc0-f3cae4904884,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,f8cb6e4d-482c-44b2-a83a-75c2cf74f0f4,VERY_GOOD,1992,123,80,,https://en.numista.com/catalogue/note201000.html,50,,1
3b925da5-3c96-43a0-90f9-4719860bd567,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,9b2bb5af-8754-4f58-bb80-abea017a0158,VERY_GOOD,2008,120,66,,https://en.numista.com/catalogue/note202670.html,20,,1
765ad8ff-5902-4dd7-be41-a7363de78a23,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,3504d39e-082c-4a4b-81b3-a004f350e641,VERY_GOOD,1968,128,62,"e rau, manca-ti-as :)))",https://en.numista.com/catalogue/note205706.html,1,,1
c58b4571-f098-4ad4-a6b9-301ac5e6daa6,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,3b3e1c7a-2b55-4d9f-8c1e-7a4d3f9b2e41,VERY_GOOD,1987,140,67,Canadian Tire 5 cent,https://en.numista.com/catalogue/exonumia274110.html,5,,1
276d8d05-1421-426c-9a01-08014403dd91,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,3b3e1c7a-2b55-4d9f-8c1e-7a4d3f9b2e41,VERY_GOOD,1992,140,67,Canadian Tire 5 cent,https://en.numista.com/catalogue/exonumia217522.html,5,,1
b0a1044a-88c9-4620-a9f3-54d1bd86af7a,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,3b3e1c7a-2b55-4d9f-8c1e-7a4d3f9b2e41,VERY_GOOD,1992,140,67,Canadian Tire 10 cent,https://en.numista.com/catalogue/exonumia233130.html,10,1996,1
4e399a4c-0d22-400b-9bc9-377b471a1da1,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,3b3e1c7a-2b55-4d9f-8c1e-7a4d3f9b2e41,VERY_GOOD,1985,140,67,Canadian Tire 10 cent,https://en.numista.com/catalogue/exonumia329720.html,10,,1
f7c8a37e-0284-414c-b0e3-b513399b357b,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,3b3e1c7a-2b55-4d9f-8c1e-7a4d3f9b2e41,VERY_GOOD,1962,140,67,Canadian Tire 10 cent - cu spate verde though,https://www.bankofcanadamuseum.ca/collection/artefact/view/1968.0249.00009.000/canada-canadian-tire-corporation-ltd-10-cents-1962,10,,1
ec90bebc-16dc-45c7-bdae-621808fe5e9e,d7717171-7fbd-45ad-887b-15874b0a0287,35da2f5a-1a21-4987-a4d9-ea748641b675,9e946642-458e-4ebc-8808-d3e10c2681ed,VERY_GOOD,2020,135,62,,https://en.numista.com/catalogue/note280476.html,10,,1
2f035c09-be99-45a6-8101-65f21d5cbe26,d7717171-7fbd-45ad-887b-15874b0a0287,35da2f5a-1a21-4987-a4d9-ea748641b675,08c0f8ac-ee32-459a-bed3-39f05ee86b32,VERY_GOOD,2021,136,77,,https://en.numista.com/catalogue/note312374.html,20,,101
82ed541c-bd71-4085-b95f-795d7661e4c8,d7717171-7fbd-45ad-887b-15874b0a0287,35da2f5a-1a21-4987-a4d9-ea748641b675,08c0f8ac-ee32-459a-bed3-39f05ee86b32,VERY_GOOD,1999,143,63,,https://en.numista.com/catalogue/note201590.html,2000,,12
0f8f65c8-ba6d-41cf-b5f2-f2fb86deaead,d7717171-7fbd-45ad-887b-15874b0a0287,35da2f5a-1a21-4987-a4d9-ea748641b675,08c0f8ac-ee32-459a-bed3-39f05ee86b32,VERY_GOOD,2000,150,67,,https://en.numista.com/catalogue/note202531.html,10000,,1
20b60076-c91e-44b4-ab6d-2fc8e957e524,d7717171-7fbd-45ad-887b-15874b0a0287,35da2f5a-1a21-4987-a4d9-ea748641b675,08c0f8ac-ee32-459a-bed3-39f05ee86b32,VERY_GOOD,2001,155,70,,https://en.numista.com/catalogue/note202779.html,50000,,2
5ce45518-c3ff-4300-b62f-4d60e5f8e61e,d7717171-7fbd-45ad-887b-15874b0a0287,35da2f5a-1a21-4987-a4d9-ea748641b675,08c0f8ac-ee32-459a-bed3-39f05ee86b32,VERY_GOOD,2001,160,73,,https://en.numista.com/catalogue/note202781.html,100000,,1
1ceb3f29-980b-4677-b193-796b83b9353d,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,82dd310c-6c76-4478-8898-dd0a6818f3a3,VERY_GOOD,1989,156,69,destul de veche,https://en.numista.com/catalogue/note204100.html,5,,2
eb78e50d-e051-4cec-a1fe-c9ef3bab06ac,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,08c0f8ac-ee32-459a-bed3-39f05ee86b32,VERY_GOOD,1966,124,62,,https://en.numista.com/catalogue/note205768.html,5,,2
5881ade8-a7ad-4f96-8656-d2b07884f6ac,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,08c0f8ac-ee32-459a-bed3-39f05ee86b32,VERY_GOOD,1966,131,65,,https://en.numista.com/catalogue/note205769.html,10,,3
2b6a8dd7-236a-45db-aa7b-cc4b49ed065f,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,08c0f8ac-ee32-459a-bed3-39f05ee86b32,VERY_GOOD,1966,140,70,destul de veche,https://en.numista.com/catalogue/note204598.html,25,,1
2630419d-c30d-44da-930f-175780210ae8,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,08c0f8ac-ee32-459a-bed3-39f05ee86b32,VERY_GOOD,1966,145,72,,https://en.numista.com/catalogue/note205770.html,50,,2
90848ebb-6837-4574-b6f6-b56e4a7a1a76,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,08c0f8ac-ee32-459a-bed3-39f05ee86b32,VERY_GOOD,1966,153,75,toate foarte firave,https://en.numista.com/catalogue/note205771.html,100,,4
9d1faade-5bbb-4cd4-b60b-c174f808a82c,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,08c0f8ac-ee32-459a-bed3-39f05ee86b32,VERY_GOOD,1947,182,88,,https://en.numista.com/catalogue/note205762.html,100000,,1
