id,collection_id,material_id,denomination_id,condition,year_created,diameter,description,link,numeric_value,extra_year,units,weight,thickness
8e0154a6-ed20-44d3-b49c-553834c90a28,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,e78b342c-29c1-4407-be38-860adbc885bd,8f3e1c7a-2b55-4d9f-8c1e-7a4d3f9b2e10,VERY_GOOD,1998,23.350000000000001,,https://ro.ucoin.net/coin/denmark-10-kroner-1994-1999/?tid=5640,10,,1,7,2.2999999999999998
a68b0563-f12c-41fb-b078-6b165bf07b51,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,e78b342c-29c1-4407-be38-860adbc885bd,2e9f4c7a-1b55-4d8e-9f3c-7c1a5e8b9d06,VERY_GOOD,1998,20,,https://ro.ucoin.net/coin/france-10-centimes-1962-2001/?tid=6998,10,,2,3,1.5
448ad229-5dbe-43f5-a2d3-03853ec6c23b,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,59fff65e-0fb6-43d2-be0f-fb40238a608f,3f7a1c9e-4b22-4e8f-9d1a-8c4e7b3f2a23,VERY_GOOD,2012,26.300000000000001,,https://ro.ucoin.net/coin/hungary-20-forint-2012-2021/?tid=14893,20,2015,2,6.9000000000000004,1.8999999999999999
78e0d8bb-60a1-4d0d-9bed-920c45a93e70,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,1c378483-96de-4276-b2cd-6dcefee47897,8f3e1c7a-2b55-4d9f-8c1e-7a4d3f9b2e10,VERY_GOOD,1999,24.5,,https://ro.ucoin.net/coin/denmark-2-kroner-1992-2021/?tid=5602,2,1992-2008,7,5.9000000000000004,1.8
e5307121-a60b-4943-b596-a836fed5b9b5,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,2ec1702b-2625-41ae-b214-0845913dbd47,7c7e3c9f-4b22-4d8f-9c1a-5e8b7d3f2c54,VERY_GOOD,1991,21.5,,https://ro.ucoin.net/coin/denmark-50-ore-1989-2021/?tid=5565,50,,5,4.2999999999999998,1.55
07c18755-df6f-48f4-a2bc-c531b08e887a,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,43ab5e32-b241-4c39-82a6-780c6d4e36fb,9a1f9c3e-4b22-4d8f-9c1e-8e3d7b4f5c29,VERY_GOOD,1816,19.399999999999999,"foarte murdara, ca e verde abastruie",https://ro.ucoin.net/coin/austria-1-4-kreuzer-1816/?tid=71667,1/4,,1,2.1899999999999999,1.2
161948b8-de22-4144-ad55-d2a7210b8cee,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,aa38d7db-f4ab-427e-9062-56f0db822ebf,1b3e1c7a-2b55-4d9f-8c1e-7a4d3f9b2e30,VERY_GOOD,2019,26.5,,https://ro.ucoin.net/coin/croatia-5-kuna-1993-2019/?tid=3725,5,,1,7.4500000000000002,1.8
ef91b44b-7f71-4ad2-923c-7ac8cf761dc9,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,1c378483-96de-4276-b2cd-6dcefee47897,1a7e9c2f-8a33-4d1f-9c7a-3e1b8f5d7c57,VERY_GOOD,1999,20.5,,https://ro.ucoin.net/coin/bulgaria-20-stotinki-1999-2002/?tid=13151,20,,6,4,1.6899999999999999
d195de8e-35db-4146-add1-12f2c8b8ea45,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,1c378483-96de-4276-b2cd-6dcefee47897,1a7e9c2f-8a33-4d1f-9c7a-3e1b8f5d7c57,VERY_GOOD,1999,18.5,,https://ro.ucoin.net/coin/bulgaria-10-stotinki-1999-2002/?tid=13149,10,,3,3,1.5
6980a186-4545-4507-ae58-8c423233d1ab,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,5d550262-c6b0-4d76-b105-b3e93675e279,3f7a1c9e-4b22-4e8f-9d1a-8c4e7b3f2a23,VERY_GOOD,1994,27.399999999999999,,https://ro.ucoin.net/coin/hungary-50-forint-1992-2011/?tid=2730,50,1995,2,7.7000000000000002,1.7
9b067301-bc74-40d2-ac3a-5904513e2dc0,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,5291959a-0111-4533-9517-7a45949f812d,4e9f4c7a-1b55-4d8e-9f3c-7c1a5e8b9d33,VERY_GOOD,1978,24.800000000000001,,https://ro.ucoin.net/coin/italy-50-lire-1954-1989/?tid=9567,50,,1,6.2000000000000002,2
30988477-425a-4633-9626-969ab027d684,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,eeab63c4-18f6-42a5-a13a-2b86e4ef2afc,2d1a9c3f-4b22-4d8f-9c1e-7a3d8f5b6c49,VERY_GOOD,1997,25,,https://ro.ucoin.net/coin/russia-5-rubles-1997-1999/?tid=2006,5,,2,6.4500000000000002,1.8
